College,Major Name,Total_2005,Male_2005,Female_2005,Total_2015,Male_2015,Female_2015,%Female_2005,%Female_2015
KL,Agr & Consumer Economics,83.0,49.0,34.0,670.0,445.0,225.0,0.40963855421686746,0.3358208955223881
KL,Animal Sciences,598.0,163.0,435.0,620.0,123.0,497.0,0.7274247491638796,0.8016129032258065
KL,Crop Sciences,149.0,97.0,51.0,264.0,152.0,112.0,0.3422818791946309,0.42424242424242425
KL,Food Science & Human Nutrition,440.0,109.0,331.0,493.0,119.0,374.0,0.7522727272727273,0.7586206896551724
KL,Horticulture,72.0,48.0,24.0,24.0,6.0,18.0,0.3333333333333333,0.75
KL,Human & Community Development,31.0,6.0,25.0,32.0,5.0,27.0,0.8064516129032258,0.84375
KL,Human Development & Family St,216.0,13.0,202.0,198.0,24.0,174.0,0.9351851851851852,0.8787878787878788
KL,Natural Res & Env Sciences,94.0,48.0,46.0,83.0,46.0,37.0,0.48936170212765956,0.4457831325301205
KL,Natural Resrcs & Environ Sci,196.0,122.0,74.0,235.0,124.0,111.0,0.37755102040816324,0.4723404255319149
KL,Nutritional Sciences,53.0,10.0,43.0,45.0,13.0,32.0,0.8113207547169812,0.7111111111111111
KL,Technical Systems Management,92.0,86.0,6.0,205.0,181.0,24.0,0.06521739130434782,0.11707317073170732
KM,Accountancy,1261.0,687.0,572.0,1422.0,687.0,735.0,0.4536082474226804,0.5168776371308017
KM,Business Administration,952.0,490.0,462.0,89.0,38.0,51.0,0.4852941176470588,0.5730337078651685
KM,Business Administration (MBA),238.0,171.0,67.0,288.0,203.0,85.0,0.2815126050420168,0.2951388888888889
KM,Curric Unassigned,363.0,220.0,142.0,1026.0,564.0,462.0,0.39118457300275483,0.4502923976608187
KM,Finance,896.0,622.0,271.0,705.0,455.0,250.0,0.30245535714285715,0.3546099290780142
KM,Nondegree,34.0,18.0,16.0,78.0,45.0,33.0,0.47058823529411764,0.4230769230769231
KN,Early Childhood Education,60.0,2.0,58.0,62.0,2.0,60.0,0.9666666666666667,0.967741935483871
KN,Ed Organization and Leadership,127.0,47.0,80.0,80.0,24.0,56.0,0.6299212598425197,0.7
KN,Educational Policy Studies,135.0,41.0,94.0,126.0,48.0,78.0,0.6962962962962963,0.6190476190476191
KN,Educational Psychology,124.0,34.0,90.0,51.0,15.0,36.0,0.7258064516129032,0.7058823529411765
KN,Elementary Education,408.0,36.0,372.0,378.0,25.0,353.0,0.9117647058823529,0.9338624338624338
KN,Special Education,157.0,15.0,142.0,172.0,17.0,155.0,0.9044585987261147,0.9011627906976745
KP,Aerospace Engineering,381.0,326.0,55.0,657.0,588.0,69.0,0.14435695538057744,0.1050228310502283
KP,Bioengineering,60.0,40.0,20.0,318.0,167.0,151.0,0.3333333333333333,0.4748427672955975
KP,Civil Engineering,795.0,641.0,154.0,1319.0,976.0,343.0,0.19371069182389938,0.26004548900682334
KP,Computer Engineering,563.0,520.0,42.0,1062.0,952.0,109.0,0.07460035523978685,0.10263653483992467
